detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,814afcc2-1387-4efe-9385-62f851c7f6b9,dtnotuyagygexmkyqtgb,1762997136600000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,2efc8bcf-75fe-4381-803d-f52084771142,dtnotuyagygexmkyqtgb,1762997136600000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,e77397e1-97a9-47fe-ab55-fce8515cf3ed,dtnotuyagygexmkyqtgb,1762997136587000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,d55bc1d2-694b-46fd-97df-edc7556622b2,dtnotuyagygexmkyqtgb,1762997136587000
null,LOG,"connection authenticated: identity=""postgres"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,a6c0d1d6-01c4-4f5b-9c09-3cfe52292337,dtnotuyagygexmkyqtgb,1762997136579000
null,LOG,"connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,e6d9f5a9-a271-4e03-9e21-c40ba8bf1bb6,dtnotuyagygexmkyqtgb,1762997136579000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,2b8cb7c1-83fe-476c-89ca-dddd46cb35a5,dtnotuyagygexmkyqtgb,1762997135422000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,a474ea44-88b1-4c70-a96c-f5750a39e55d,dtnotuyagygexmkyqtgb,1762997135422000
null,LOG,"connection authenticated: identity=""supabase_admin"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,21516bd1-4779-4831-a45b-1479cf9cf00c,dtnotuyagygexmkyqtgb,1762997135388000
null,LOG,"connection authorized: user=supabase_admin database=postgres application_name=undefined SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256)",null,ec83cdd7-a625-4d37-a42d-f6ca06f17637,dtnotuyagygexmkyqtgb,1762997135388000
null,LOG,connection received: host=2a05:d018:1e14:200:ef5a:781:48fc:ccf4 port=45836,null,83623014-060b-4f0d-b6e8-5eca563aa00b,dtnotuyagygexmkyqtgb,1762997135322000
null,LOG,connection received: host=2a05:d018:1e14:201:21e7:87e:d264:9c4f port=42938,null,49ed787d-2d04-4a39-af22-4e3497528895,dtnotuyagygexmkyqtgb,1762997135279000
null,LOG,"connection authenticated: user=""supabase_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,7e8182ed-be9f-40f4-9ef7-864dc4a3ebc1,dtnotuyagygexmkyqtgb,1762997124982000
null,LOG,connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter,null,7f24dee5-a624-4f62-8bd2-d54423812b1d,dtnotuyagygexmkyqtgb,1762997124982000
null,LOG,connection received: host=::1 port=46129,null,79844e9b-cb9c-44d0-a435-b35febd8cc37,dtnotuyagygexmkyqtgb,1762997124981000
null,LOG,"connection authenticated: user=""supabase_storage_admin"" method=trust (/etc/postgresql/pg_hba.conf:85)",null,bf30eb37-e9eb-47e7-8be6-49c5aa1e45c0,dtnotuyagygexmkyqtgb,1762997076010000
null,LOG,connection authorized: user=supabase_storage_admin database=postgres,null,11aa5a6b-4f52-4afb-a090-12f6c9c88b4a,dtnotuyagygexmkyqtgb,1762997076010000
null,LOG,"connection authenticated: user=""pgbouncer"" method=trust (/etc/postgresql/pg_hba.conf:84)",null,852bd224-cc4c-4889-8771-97efff054b8b,dtnotuyagygexmkyqtgb,1762997075983000
null,LOG,connection authorized: user=pgbouncer database=postgres,null,ecad8294-7719-47cd-9790-eddee24a7668,dtnotuyagygexmkyqtgb,1762997075983000
